,asset_class,counterparty,instrument_id,instrument_name,trade_date_time,trade_date_time_2,price,buySellIndicator,trader,quantity,trade_id
195,Adventure,"Satterfield, Macejkovic and Nicolas",057317541-1,NEE^R,2022-01-01 10:07:00,10:07,28.55,BUY,Marielle Sultana,5832,5832
196,Thriller,Smitham Group,231967452-7,TRMK,2021-07-15 17:15:00,17:15,424.56,BUY,Zora Shade,4558,4558
197,Drama Musical Romance War,Waters-Christiansen,350148190-X,BKD,2022-06-01 02:53:00,2:53,122.4,BUY,Byrann Bawme,2184,2184
198,Adventure Animation Children,"Bogisich, Kerluke and Hilll",645170997-2,TWO^A,2022-04-02 22:17:00,22:17,322.94,BUY,Kelley Tomaini,1969,1969
199,Action Drama,Wiza LLC,742460872-X,SEIC,2021-08-29 06:58:00,6:58,180.05,SELL,Joyan Garford,3103,3103
200,Comedy,Leuschke Inc,226324999-0,NYMTO,2022-02-03 06:54:00,6:54,954.0,BUY,Meryl Galiford,4396,4396
201,Drama Fantasy,Kessler-Upton,276848174-2,HBM.WS,2022-06-07 15:49:00,15:49,241.75,BUY,Bebe Tummasutti,2879,2879
202,Film-Noir Mystery,Tremblay-Feil,391384912-2,EMCI,2022-03-30 21:20:00,21:20,513.83,SELL,Meg Palk,3705,3705
203,Adventure Drama War,O'Connell LLC,889053846-5,OCLR,2021-12-02 19:51:00,19:51,740.35,BUY,Morrie Hartmann,5349,5349
204,Drama,Roberts-Kreiger,788415884-1,BFO,2022-06-26 17:28:00,17:28,123.17,BUY,Rollo Bloomfield,2485,2485
205,Action Adventure Drama War,"Wintheiser, Herzog and Mayert",710010133-6,TREC,2021-09-17 12:51:00,12:51,897.03,SELL,Geno Cudbertson,683,683
206,Drama,,210503575-2,EGOV,2022-06-12 03:15:00,3:15,218.07,BUY,Dayna Boone,1980,1980
207,Comedy Sci-Fi,Weissnat Inc,932495041-X,SPWH,2021-08-03 21:19:00,21:19,828.68,BUY,Kira Stucksbury,5063,5063
208,Comedy Drama,O'Hara Inc,890911691-9,STE,2021-07-04 17:17:00,17:17,491.44,BUY,Marillin Rubinek,5139,5139
209,Drama,"Feil, Stehr and Bednar",635887113-7,RYAM^A,2022-05-24 23:50:00,23:50,254.14,BUY,Lissa Giraudy,1730,1730
210,Comedy,Rempel-Aufderhar,642863550-X,ASA,2022-05-07 05:56:00,5:56,507.08,SELL,Almeta Dearlove,4900,4900
211,Drama,"Schiller, Veum and Nader",897021967-6,ASFI,2022-04-01 13:49:00,13:49,198.25,BUY,Oralie Kaspar,1317,1317
212,Action Adventure Animation,Pfeffer-Franecki,841508338-6,GOGL,2022-01-14 20:33:00,20:33,275.26,BUY,Otes Wattinham,5536,5536
213,Comedy Drama,Shields-Yundt,620351631-7,GNC,2021-10-09 03:30:00,3:30,58.19,BUY,Ava Shapcott,3149,3149
214,Adventure Animation Comedy,Stark LLC,702484263-6,CHW,2021-07-22 01:48:00,1:48,14.08,SELL,Rakel Diboll,1742,1742
215,Documentary,Roob and Sons,937197359-5,PKD,2021-07-22 00:09:00,0:09,28.87,BUY,Ron Shearston,2494,2494
216,Horror,"Streich, Lockman and Schiller",884306195-X,AAWW,2022-05-11 12:00:00,12:00,539.78,BUY,Marylee Bowler,2466,2466
217,Drama,,749556668-X,IGF,2022-05-05 08:44:00,8:44,953.47,BUY,Karissa Wreakes,5527,5527
218,Action Adventure Drama Sci-Fi,Schamberger and Sons,944175127-8,MOXC,2022-04-12 09:38:00,9:38,385.34,BUY,Quinta Airds,2491,2491
219,Action Adventure Horror Thriller,"Farrell, Sipes and Dicki",971311596-1,HLIT,2021-10-26 09:19:00,9:19,887.94,BUY,Jacquenetta Milington,4827,4827
220,Drama,"Erdman, Herman and Ratke",019931556-6,BOKF,2021-08-28 01:31:00,1:31,259.72,BUY,Dulcinea Abelson,2017,2017
221,Comedy,Leannon LLC,984506854-5,UCP,2021-08-31 18:59:00,18:59,579.62,SELL,Marie-ann Meredyth,5229,5229
222,Sci-Fi Thriller,"DuBuque, Hintz and Kling",120475381-4,D,2021-09-11 18:36:00,18:36,99.93,SELL,Jaquenette Jenoure,1621,1621
223,Action Drama War,"Howe, Breitenberg and Veum",943375138-8,BLVDW,2022-01-22 15:26:00,15:26,204.4,BUY,Joel Dexter,372,372
224,Drama,"Shanahan, Cartwright and Ward",590560503-3,OLP,2022-04-30 15:34:00,15:34,771.52,BUY,Boigie Marvell,1719,1719
225,Comedy Musical,Raynor LLC,516096839-3,MATW,2022-04-30 05:16:00,5:16,170.12,BUY,Waverley Laite,2951,2951
226,Animation Children,Ankunding Group,473799312-3,BOBE,2021-07-11 09:01:00,9:01,803.12,BUY,Winslow Mowsley,3726,3726
227,Action Adventure Animation Children,Hahn-Kub,162411585-3,MBFI,2021-07-10 03:37:00,3:37,370.56,BUY,Pauly Onion,3333,3333
228,Comedy Drama,"Smith, Mosciski and Ward",183342417-4,AXAS,2021-12-16 12:49:00,12:49,344.15,BUY,Fitz Tolcher,3602,3602
229,Action Comedy Sci-Fi,"Schoen, Cremin and Emmerich",184530448-9,FENG,2022-04-22 23:43:00,23:43,384.96,SELL,Darb Tomicki,3660,3660
230,Comedy,"Quigley, Dickinson and Kassulke",619873229-0,EGY,2022-03-16 13:21:00,13:21,455.82,BUY,Benedikt Wise,5110,5110
231,Horror Thriller,Harris and Sons,654332844-4,LDF,2021-08-26 19:40:00,19:40,397.23,SELL,Doug Dibben,5138,5138
232,Children,Bins Group,360971436-0,DEST,2022-06-14 07:29:00,7:29,656.12,SELL,Roderick Hesser,1599,1599
233,Crime Film-Noir Horror Romance Thriller,"Willms, Price and Keeling",385967223-1,BURL,2022-06-09 06:41:00,6:41,114.26,BUY,Kennett Losty,3012,3012
234,Thriller,McGlynn-Thompson,933993634-5,OFG,2021-09-22 15:21:00,15:21,745.27,SELL,Pete Laible,2768,2768
235,Drama Thriller,Hilll-Kuphal,425704815-8,PII,2022-04-18 01:46:00,1:46,79.87,BUY,Dee Bezley,5965,5965
236,Drama,Hartmann and Sons,608360963-1,APWC,2022-07-02 13:39:00,13:39,590.32,BUY,Geraldine Durtnel,5210,5210
237,Comedy Drama Horror,"McCullough, Bradtke and Hammes",475331450-2,PID,2021-09-10 16:18:00,16:18,937.97,BUY,Sonnie Varndall,1538,1538
238,Comedy Romance,O'Keefe-Hane,343606881-0,INWK,2022-01-10 06:01:00,6:01,151.7,SELL,Vitia Imison,2186,2186
239,Drama Romance,"Carroll, Walker and Medhurst",951712947-5,JMBA,2021-08-04 14:47:00,14:47,272.26,BUY,Keelby Rubinsaft,4133,4133
240,Comedy Documentary,Aufderhar LLC,701639358-5,MDLX,2021-11-26 18:14:00,18:14,187.47,SELL,Nigel Gibbonson,3679,3679
241,Crime Drama Mystery,Hermiston and Sons,828803207-9,TERP,2021-12-30 13:26:00,13:26,908.76,BUY,Geno Hadrill,5234,5234
242,Children Comedy Mystery,"Kuvalis, Leuschke and King",564026865-4,MLI,2022-05-21 14:28:00,14:28,256.85,SELL,Haslett Benbow,4006,4006
243,Adventure Children,Nienow Group,310473201-9,DSU,2021-09-17 17:22:00,17:22,212.07,SELL,Annecorinne Robertet,1488,1488
244,Crime Drama,Sipes-Goodwin,671703287-1,SMTX,2021-12-07 13:45:00,13:45,250.07,SELL,Riobard McShee,4881,4881
245,Horror Thriller,Russel and Sons,760616846-6,ABY,2022-05-14 09:29:00,9:29,68.52,BUY,Lari Abbotson,5774,5774
246,Comedy,Okuneva-Grimes,470977804-3,BNSO,2021-11-21 00:24:00,0:24,663.51,SELL,Cort Hearon,3057,3057
247,Comedy Drama,O'Kon LLC,402417458-4,RGCO,2021-07-08 20:09:00,20:09,699.86,BUY,Elonore Spinage,1476,1476
248,Comedy Drama,Mueller and Sons,755605194-3,CZNC,2022-06-05 01:11:00,1:11,853.55,SELL,Ogden Plank,2113,2113
249,Drama,Ernser and Sons,741664483-6,INSM,2021-12-06 07:22:00,7:22,331.84,BUY,Tailor Romaines,5525,5525
250,Comedy,"Dicki, Kuphal and Kshlerin",196942383-8,DYSL,2021-10-04 16:48:00,16:48,692.62,BUY,Burgess Farebrother,5587,5587
251,Comedy Romance,"Shanahan, Koelpin and Grant",117592407-5,CBMXW,2021-10-17 12:37:00,12:37,439.46,SELL,Nixie Colenutt,2679,2679
252,Adventure Children,Ruecker-Spencer,788832566-1,FMS,2022-02-07 09:24:00,9:24,325.61,SELL,Claudia Llewhellin,3120,3120
253,Drama Horror Mystery Thriller,"Hyatt, Considine and Hirthe",982531608-X,HFBL,2022-04-02 04:48:00,4:48,256.38,BUY,Cassaundra Maciunas,1203,1203
254,Comedy Musical Romance,Schulist Group,319015569-0,PCK,2022-05-30 15:42:00,15:42,410.42,SELL,Timothy Lett,4196,4196
255,Drama Mystery Thriller,Wunsch-Bernier,420024505-1,EOT,2022-05-13 12:16:00,12:16,103.95,BUY,Ewen Firpo,5328,5328
256,Crime Drama Film-Noir,"Hagenes, Schoen and Dare",014805493-5,ROSEU,2021-12-04 18:26:00,18:26,691.81,SELL,Nye Clewett,482,482
257,Action Drama Sci-Fi Thriller,"Kessler, Ferry and Quigley",852481739-9,GKOS,2021-11-09 18:16:00,18:16,606.04,SELL,Kenna Streeten,5680,5680
258,Crime Drama,Mueller Inc,047064853-8,OAK,2022-05-21 22:12:00,22:12,619.86,BUY,Zechariah Camp,5205,5205
259,Documentary,Rohan-Rohan,336111443-8,WSBC,2022-04-12 14:45:00,14:45,161.98,SELL,Orion Carwithen,1289,1289
260,Adventure Animation Children Fantasy Musical Romance,Stamm-Stroman,013368866-6,VNO^G,2022-01-19 09:54:00,9:54,667.78,BUY,Ezri Piddle,5002,5002
261,Comedy Horror,O'Hara LLC,949323170-4,DRE,2021-08-27 10:37:00,10:37,138.71,BUY,Mathe Atty,1981,1981
262,Comedy Sci-Fi Thriller,,490123883-3,TPX,2022-06-30 06:47:00,6:47,107.87,BUY,Estrella O'Corrin,2788,2788
263,Horror Thriller,Nikolaus-Schmeler,949744575-X,ABBV,2022-06-08 19:23:00,19:23,299.96,SELL,Lizabeth Tomkin,3298,3298
264,Comedy Drama,Goldner LLC,892784123-9,BK^C,2022-01-09 23:23:00,23:23,926.25,SELL,Ozzie Law,5935,5935
265,Comedy Drama Romance,"Goodwin, Satterfield and Rice",855006666-4,JLL,2022-03-27 00:04:00,0:04,981.83,SELL,Eleanora Bernath,5820,5820
266,Action Comedy Crime Thriller,Schaden-Renner,820282655-1,CSPI,2022-03-10 21:57:00,21:57,744.57,SELL,Rosamond Brinkman,2386,2386
267,Comedy Drama Romance,Dietrich-Williamson,605619592-9,RYAM^A,2022-07-02 05:57:00,5:57,473.91,BUY,Arly Winchester,3710,3710
268,Action Comedy Drama,Koss Inc,658919131-X,CLNT,2022-03-05 06:08:00,6:08,615.03,BUY,Gladys MacKilroe,5205,5205
269,Documentary,"Collier, Ruecker and Mosciski",084794771-8,AKAO,2022-04-16 02:04:00,2:04,68.92,BUY,Trudey Gurys,3326,3326
270,Mystery Sci-Fi Thriller,Luettgen Inc,593671772-0,AIB,2022-07-01 03:54:00,3:54,797.6,BUY,Phillis Lanston,4664,4664
271,Drama War,Murphy-Pacocha,632633269-9,NTNX,2021-12-25 11:22:00,11:22,379.13,SELL,Chrysa Halfacre,5595,5595
272,Drama,"Torphy, Rohan and Little",237184446-2,SB^D,2022-04-18 10:57:00,10:57,703.31,BUY,Haleigh Pochet,4241,4241
273,Horror Thriller,"Pfeffer, Schaefer and Windler",792904965-5,WLB,2022-03-17 17:32:00,17:32,29.35,SELL,Carlin Loram,5858,5858
274,Documentary,"Considine, Harber and MacGyver",357013240-4,SKYW,2021-07-07 22:30:00,22:30,532.73,SELL,Quint Creany,1531,1531
275,Drama War,Smith and Sons,288162141-4,BEN,2022-06-18 14:18:00,14:18,873.59,SELL,Egon Swate,2946,2946
276,Documentary Musical,"Hauck, Hickle and Dooley",445593559-2,CIB,2022-01-30 04:24:00,4:24,370.99,SELL,Archibald O'Lenechan,5416,5416
277,Comedy Drama Romance,"Carroll, Ondricka and Marquardt",986194853-8,RATE,2021-07-21 18:54:00,18:54,974.15,BUY,Ulric Trumpeter,3025,3025
278,Drama Romance,"Brekke, Kunde and Howe",099345000-8,SCZ,2022-02-26 08:29:00,8:29,328.93,SELL,Aluino Rawsen,1673,1673
279,Documentary,Greenfelder Group,189190094-3,UFS,2021-07-07 19:26:00,19:26,169.54,BUY,Mycah Blesing,783,783
280,Crime Drama Film-Noir Mystery,Huels-Anderson,760172437-9,APEI,2022-05-15 02:53:00,2:53,676.07,SELL,Peirce Wabe,5295,5295
281,Drama,"Beer, Parker and Bergnaum",650137283-6,TNP^E,2022-05-05 16:34:00,16:34,710.95,SELL,Selestina Sherry,5920,5920
282,Action Thriller,"Denesik, Brakus and Bernhard",571562917-9,AI^B,2022-06-03 13:57:00,13:57,110.0,BUY,Reade M'Quhan,3926,3926
283,Drama Romance,Cormier-Kihn,375816436-2,TTMI,2021-07-07 16:32:00,16:32,352.89,SELL,Abey Longfellow,3580,3580
284,Drama Romance,Emard-Greenholt,337905678-2,KMDA,2022-04-10 06:55:00,6:55,229.02,SELL,Tabbi Charlson,846,846
285,Action Adventure Comedy Crime,McLaughlin LLC,315206586-8,UTHR,2022-05-03 00:45:00,0:45,947.71,SELL,Lara Bolduc,4656,4656
286,Adventure Animation Children Drama,,694826831-5,STAR^G,2022-04-06 13:28:00,13:28,664.09,BUY,Teodoro Deeth,5129,5129
287,Animation Children,Kutch-Williamson,406094607-9,CSML,2022-01-01 20:45:00,20:45,728.6,BUY,Brod Mc Carrick,2125,2125
288,Comedy Drama,,058638259-3,RAS,2022-02-11 18:35:00,18:35,436.83,SELL,Goldina Weale,4840,4840
289,Children Fantasy,O'Reilly-Monahan,886908703-4,AGNCB,2022-06-04 17:40:00,17:40,111.79,SELL,Olimpia Tarrier,954,954
290,Action Drama Thriller,Hyatt-Paucek,142347670-0,SRC,2022-02-27 23:38:00,23:38,462.03,SELL,Ferd Schimpke,5305,5305
291,Documentary,,162088257-4,HAS,2021-07-21 08:31:00,8:31,173.88,BUY,Alayne Prestland,185,185
292,Documentary,"Kris, Pfeffer and Lemke",887004775-X,YEXT,2022-06-17 18:28:00,18:28,164.93,BUY,Elysia Yanin,5859,5859
293,Drama,"Conn, Hodkiewicz and Goyette",071396569-X,PPHM,2022-02-10 15:34:00,15:34,334.6,SELL,Reggie Gaspard,3607,3607
294,Action Drama,Murphy and Sons,893774731-6,FCAP,2022-02-21 07:44:00,7:44,34.14,SELL,Madelin Muress,2459,2459
295,Drama,Rowe-Gleichner,801425256-X,STAR^D,2021-08-25 11:56:00,11:56,549.31,SELL,Karmen Hatherill,887,887
296,Drama Romance War,"Friesen, Halvorson and Lockman",542027332-2,TESO,2021-09-26 10:18:00,10:18,730.59,SELL,Shay Baldelli,4281,4281
297,Documentary,"Weissnat, Rempel and Kub",004881240-4,CGNX,2022-02-22 09:31:00,9:31,347.8,SELL,Lorant Doughtery,5407,5407
298,Drama Fantasy,Senger-Wisozk,483471288-5,CCJ,2022-03-02 06:19:00,6:19,494.97,SELL,Maurine Dullard,5538,5538
299,Drama Sci-Fi Thriller,"Herman, Bosco and Schimmel",490887994-X,MUI,2022-04-09 01:31:00,1:31,438.75,BUY,Collie Charer,4577,4577
300,Horror Thriller,Herman LLC,382072097-9,LUB,2022-04-03 09:17:00,9:17,629.43,SELL,Torrance Elloit,2577,2577
301,Animation Fantasy Mystery,Wehner Group,410138850-4,AAN,2022-02-06 01:47:00,1:47,148.88,BUY,Cristie Gillbe,815,815
302,Documentary,Douglas Group,152227153-8,DTUL,2022-02-23 20:15:00,20:15,223.45,BUY,Lev Pittle,2761,2761
303,Comedy,Cruickshank-Daugherty,893055795-3,EXPO,2022-04-19 16:51:00,16:51,119.55,BUY,Fern Skeates,1377,1377
304,Comedy,McDermott-Haag,666720937-4,CXP,2022-04-13 00:29:00,0:29,929.22,BUY,Kristofer Freeman,2902,2902
305,Horror,"Christiansen, Bogisich and Morar",916020052-9,ELLI,2021-07-15 21:10:00,21:10,305.53,BUY,Rodney Swash,4041,4041
306,Drama,Schultz-Balistreri,726691488-4,HUBG,2021-11-26 16:29:00,16:29,801.63,BUY,Markos Doig,3726,3726
307,Adventure Sci-Fi,"Beer, Kutch and Dach",344723435-0,PSCF,2021-07-31 16:08:00,16:08,384.24,SELL,Willy Bruyett,8,8
308,Comedy Musical Romance,Fisher LLC,602192956-X,BW,2021-09-30 08:07:00,8:07,61.96,BUY,Ransell Gibbett,5169,5169
309,Action Sci-Fi,"Fahey, Ondricka and Shanahan",358400402-0,MER^K,2022-02-17 03:45:00,3:45,771.45,BUY,Briney Hullyer,5652,5652
310,Comedy Romance,"McGlynn, Lindgren and Collier",563355965-7,SMRT,2022-01-26 05:00:00,5:00,64.0,BUY,Barbee Hair,4444,4444
311,Action Drama,Hegmann and Sons,437069357-8,AIG,2021-12-03 00:38:00,0:38,648.96,SELL,Madel Cheesman,1439,1439
312,Crime Mystery,Kris LLC,820943683-X,RUSHA,2022-02-24 20:01:00,20:01,725.28,BUY,Kevin McGuinley,1141,1141
313,Comedy Western,"Hauck, Oberbrunner and Beer",005530038-3,YUMC,2021-07-10 01:53:00,1:53,611.04,SELL,Francisca Bolin,3390,3390
314,Comedy Drama Romance,Rohan-Bernhard,559952310-1,TACT,2022-04-01 23:39:00,23:39,289.37,SELL,Arney Shevlan,5240,5240
315,Animation,"Kihn, Kuhlman and Cremin",307389703-8,NGHCN,2022-04-23 20:26:00,20:26,539.01,SELL,Fredelia de Quesne,5952,5952
316,Drama,Kub Group,712567006-7,VNET,2022-04-18 05:40:00,5:40,396.49,SELL,Ashien Mc Curlye,15,15
317,Action Drama,"Reichert, Klein and Armstrong",002723367-7,FOX,2021-12-12 00:53:00,0:53,152.92,SELL,Biddie Duffett,3709,3709
318,Documentary,Gorczany LLC,863455472-4,IMNP          ,2022-01-07 02:01:00,2:01,808.77,SELL,Rodolfo Randerson,4597,4597
319,Comedy Romance,Cremin-Schmitt,297495117-1,AMMA,2022-03-26 18:43:00,18:43,597.11,BUY,Trace Needham,2514,2514
320,Comedy,White Group,908167276-2,JKI,2022-04-09 23:07:00,23:07,947.64,SELL,Adriena Archell,2453,2453
321,Comedy Crime,"Feil, Koelpin and Hagenes",807853847-2,ENT,2022-04-01 16:16:00,16:16,459.01,SELL,Turner Giacomi,5260,5260
322,Crime Thriller,"Lehner, Renner and Armstrong",184377791-6,HIG.WS,2021-09-12 03:50:00,3:50,587.3,SELL,Cinderella Lucus,3964,3964
323,Drama,Kilback Group,276184554-4,HSEB,2021-11-26 02:13:00,2:13,485.95,SELL,Benny Milleton,4304,4304
324,Drama,Kozey-Renner,625426124-3,FJP,2022-01-16 17:05:00,17:05,357.12,BUY,Perle McLarty,64,64
325,Action,Runolfsson-Koepp,097121809-9,LEE,2021-12-31 04:03:00,4:03,259.84,BUY,Ennis Ranscombe,1048,1048
326,Comedy Romance,Herzog LLC,295143746-3,RAVE,2021-11-30 04:34:00,4:34,686.78,BUY,Oralie Loosemore,4778,4778
327,Drama,Grant and Sons,054711561-X,NEA,2021-07-21 16:13:00,16:13,331.93,SELL,Cher Wardingly,4194,4194
328,Adventure Children Fantasy,"Mraz, Schaden and Zboncak",993969474-1,MOG.A,2022-06-11 09:43:00,9:43,150.97,SELL,Adolpho Lunt,4945,4945
329,Documentary Musical,"Borer, Cormier and Strosin",244013487-2,FTEK,2021-09-27 11:35:00,11:35,658.39,SELL,Avery Kmieciak,179,179
330,Animation,Hamill-Greenholt,487647551-2,ISD,2022-06-24 11:18:00,11:18,628.68,BUY,Anderson Friedman,3525,3525
331,Action Comedy Crime Thriller,"Muller, Powlowski and Watsica",765462222-8,TST,2021-09-18 12:51:00,12:51,274.15,BUY,Ivett Hoodspeth,3693,3693
332,Drama Mystery Thriller,"Doyle, Gulgowski and Stracke",135268652-X,CXH,2021-07-16 08:52:00,8:52,222.08,SELL,Nixie Wegman,3632,3632
333,Documentary,Rodriguez-Wehner,371273894-3,LFVN,2022-02-14 06:04:00,6:04,635.28,SELL,Rupert Duerden,568,568
334,Comedy Sci-Fi,Fisher-Pfeffer,625282428-3,SNPS,2022-04-17 11:40:00,11:40,455.66,SELL,Conroy Lancastle,3292,3292
335,Drama,Hettinger Inc,207766712-5,RHT,2022-02-17 07:29:00,7:29,898.45,BUY,Court Leatham,3588,3588
336,Crime Drama,"VonRueden, D'Amore and Collins",245124224-8,NH,2021-07-03 19:12:00,19:12,658.96,SELL,Emmott Taylo,1291,1291
337,Documentary,Haag LLC,241845333-2,ARGS,2021-09-05 05:03:00,5:03,565.24,BUY,Jaye Jorgesen,533,533
338,Drama Mystery,"Wisoky, Abshire and Parisian",973469188-0,TNP,2021-12-26 12:32:00,12:32,663.15,SELL,Stavro Risen,813,813
339,Action Adventure Drama War,"Ritchie, McCullough and Oberbrunner",550170242-8,CUBI^D,2022-06-04 17:19:00,17:19,788.59,BUY,Trixie Cocking,2108,2108
340,Drama,,459616697-8,PPBI,2021-12-01 16:40:00,16:40,948.27,BUY,Ronda Caban,2932,2932
341,Comedy Drama,Rohan Inc,336800456-5,EFII,2022-02-22 13:09:00,13:09,56.17,SELL,Gratia Eilers,2728,2728
342,Action Adventure Western,"Turner, Bernier and Jast",254297749-6,CGBD,2021-08-03 07:18:00,7:18,984.66,BUY,Marigold Roman,5578,5578
343,Drama Horror,"Lesch, Collier and Morar",013709958-4,HVBC,2022-03-29 22:29:00,22:29,659.56,BUY,Farris Hyrons,3297,3297
344,Horror Thriller,Rice-Wuckert,165204730-1,WMLP,2022-06-08 14:34:00,14:34,243.62,BUY,Gwenni Hazelgrove,305,305
345,Drama Sci-Fi Thriller,Krajcik LLC,779180307-0,OTIC,2021-09-12 22:22:00,22:22,823.95,BUY,Faye Tremoille,1810,1810
346,Documentary,"Price, Nikolaus and Rempel",150692957-5,CS,2022-04-27 04:18:00,4:18,771.45,SELL,Joy Burgen,3770,3770
347,Children Comedy Sci-Fi,Braun-Marvin,263600961-2,GTS,2022-02-16 19:30:00,19:30,121.07,SELL,Melania Cowndley,283,283
348,Horror Mystery Thriller,Wisozk Inc,772641998-9,IRTC,2021-10-07 15:22:00,15:22,830.86,SELL,Margit Bott,4036,4036
349,Comedy Drama,Block Group,141793342-9,GGM,2021-08-23 15:42:00,15:42,370.34,SELL,Brock Pitman,5412,5412
350,Horror Thriller,Kulas-Maggio,863467570-X,TSLF,2021-12-04 13:14:00,13:14,385.41,BUY,Esra Dumbare,1564,1564
351,Adventure Drama Fantasy,Bruen LLC,946602146-X,SVVC,2021-08-25 03:12:00,3:12,327.19,SELL,Tommie Gillino,4297,4297
352,Documentary,Mohr Group,702936932-7,EAGLU,2021-09-03 19:22:00,19:22,121.15,SELL,Keely Muschette,3611,3611
353,Romance Western,"Mitchell, Koch and O'Keefe",413781902-5,PICO,2021-12-20 03:54:00,3:54,453.38,SELL,Adolph Busch,5791,5791
354,Documentary,Lueilwitz-Trantow,059352644-9,ZB^G,2021-12-22 16:29:00,16:29,520.51,BUY,Zenia Duthy,2565,2565
355,Drama War,Anderson Group,102134509-1,STPP,2021-10-11 17:04:00,17:04,459.73,SELL,Lurette Baines,1460,1460
356,(no genres listed),"Mayer, Emard and Fritsch",057043750-4,FNX,2022-03-24 16:00:00,16:00,920.42,BUY,Edmund McCully,2606,2606
357,Sci-Fi Thriller,Anderson LLC,026352320-9,SFR,2021-10-24 17:38:00,17:38,326.05,BUY,Louis Gwilt,2866,2866
358,Documentary,Murphy-Beahan,937249368-6,SLD,2021-11-29 20:17:00,20:17,626.92,BUY,Hurleigh Rannald,928,928
359,Crime Drama Film-Noir,Reinger-Corwin,243461563-5,EVG,2022-03-17 07:14:00,7:14,619.83,SELL,Westbrooke Inston,1412,1412
360,Action Adventure Comedy Crime Fantasy,Wehner and Sons,333525150-4,VONE,2021-10-23 18:43:00,18:43,627.25,SELL,Minnie Spears,2900,2900
361,Documentary,"Bins, Dickinson and Hayes",792484936-X,MYOS,2022-02-17 07:24:00,7:24,241.82,SELL,Alisa Dissman,4958,4958
362,Drama,Greenholt-McCullough,359364131-3,HZN,2022-04-09 00:13:00,0:13,357.76,BUY,Trumaine Keniwell,264,264
363,Drama,McLaughlin Group,563648408-9,EVAR,2022-03-12 09:48:00,9:48,551.63,BUY,Stirling Cianelli,4748,4748
364,Comedy Drama,"Jenkins, Schuppe and Osinski",784095608-4,SHOP,2021-12-21 06:06:00,6:06,742.85,BUY,Elena Bannard,2147,2147
365,Drama,Huels-Simonis,547950954-3,KTOS,2021-09-19 19:37:00,19:37,869.0,BUY,Cathrin Haglinton,4890,4890
366,Crime,"Konopelski, Hickle and Harris",459719951-9,GS^I,2022-01-24 02:54:00,2:54,274.18,BUY,Ossie Bleby,2568,2568
367,Comedy Drama,Konopelski-Jaskolski,221108279-3,TCBIL,2021-12-27 17:35:00,17:35,916.39,SELL,Sheila Potbury,331,331
368,Drama Romance,Gerhold Group,055101820-8,CRSP,2021-07-07 14:57:00,14:57,65.36,SELL,Clair Whelband,2621,2621
369,Action Thriller,"Schmitt, Kemmer and Ondricka",103607312-2,SUPN,2021-11-11 04:53:00,4:53,738.93,BUY,Venus Hardisty,1795,1795
370,Drama,Cummings-Schuppe,463297826-4,VIVE,2021-10-06 00:45:00,0:45,489.07,SELL,Cart Fletcher,108,108
371,Drama,Mertz-Cole,557387127-7,WRB^C,2022-01-28 20:29:00,20:29,823.35,BUY,Erhard Baxstair,1543,1543
372,Documentary,"Bins, Bins and McDermott",093130324-9,BLL,2022-01-26 03:11:00,3:11,234.91,SELL,Laurette Banasevich,292,292
373,Fantasy Horror Sci-Fi,"Conn, Donnelly and Pfeffer",531472486-3,BLBD,2021-09-07 04:55:00,4:55,770.07,BUY,Anna Viggers,4623,4623
374,Action Drama,Tillman-Schulist,901134603-3,ALV,2021-10-25 19:53:00,19:53,486.74,SELL,Burk Shervil,1685,1685
375,Sci-Fi,Hammes and Sons,289076467-2,COLL,2021-12-14 14:44:00,14:44,611.09,SELL,Lanna Frail,4978,4978
376,Comedy Romance,Erdman-Dicki,271198175-4,CDNA,2022-04-07 03:45:00,3:45,775.99,SELL,Fifi Badwick,2904,2904
377,Drama,Schmidt-Huels,454080029-9,CRTN,2021-09-01 21:30:00,21:30,18.13,BUY,Jenica Dulson,4984,4984
378,Comedy Fantasy,"Kessler, Zieme and Ruecker",391722063-6,RELY,2022-02-01 02:15:00,2:15,761.18,BUY,Reiko Obbard,1390,1390
379,Action Children Comedy Romance,Turner-Jenkins,898209181-5,TA,2022-04-08 20:59:00,20:59,771.55,BUY,Englebert Dunne,4081,4081
380,Action Comedy,Borer-Treutel,369432087-3,GNC,2022-06-29 18:30:00,18:30,207.34,BUY,Gregorius Blaksland,880,880
381,Action Adventure Crime Drama,Blick Inc,983650055-3,CASS,2022-01-02 21:38:00,21:38,235.62,SELL,Harrison Wille,5739,5739
382,Drama,Fay-McGlynn,065792952-2,CLAC,2022-06-07 15:15:00,15:15,449.36,BUY,Pietra Gainfort,346,346
383,Drama Thriller,Miller-Kling,224976585-5,AES^C.CL,2021-10-16 19:36:00,19:36,462.94,BUY,Gabriell McRinn,1843,1843
384,Horror Mystery Thriller,Simonis-Nikolaus,372208408-3,JPI,2021-12-25 21:11:00,21:11,417.97,BUY,Courtnay Kausche,614,614
385,Comedy,Thompson and Sons,235516426-6,SCE^F,2021-10-21 05:08:00,5:08,851.46,SELL,Gothart Regenhardt,5703,5703
386,Drama Horror Thriller,Jerde-McDermott,488780639-6,TSLF,2022-01-28 09:05:00,9:05,391.31,SELL,Gabi Dummer,4420,4420
387,Drama,Ankunding Inc,117876199-1,ROSEW,2022-01-27 11:29:00,11:29,888.42,BUY,Rina Gresty,2887,2887
